lgE,X,Y,Ze,Az,lgNe,lgNmu,Age
13.943,70.9773,48.5465,10.6572,350.06699999999995,3.3343800000000003,3.14187,1.2957100000000001
14.3526,-35.9579,-8.72052,2.3922,305.714,4.1331,3.4408199999999995,0.973749
14.2336,88.6702,-15.3582,1.90537,329.537,4.05438,3.2950199999999996,0.816754
13.9517,-46.7384,-45.3193,12.9612,262.947,2.99229,3.24087,1.23511
14.1728,-45.9601,-43.1678,9.99408,243.805,3.6867900000000002,3.3416300000000003,1.2059600000000001
14.0743,8.49164,-4.60059,15.3604,83.2092,3.4085300000000003,3.26985,1.03708
13.9087,32.0211,-70.8629,25.3181,167.851,2.80856,3.1318900000000003,0.982777
13.9748,79.2631,26.4819,26.7157,243.75,2.96192,3.15849,0.734446
14.0874,52.8726,-38.9334,29.2156,230.481,3.4512300000000002,3.0859400000000003,1.0949799999999998
14.1386,28.4506,71.7784,21.7089,40.0237,4.23935,2.80445,1.2123700000000002
13.911,-17.0291,23.1403,11.5203,182.674,3.6729300000000005,2.94119,0.8714870000000001
14.2001,48.4321,39.0249,23.7625,132.702,3.71043,3.23568,0.956404
14.2898,4.82947,33.2113,5.91195,110.43700000000001,4.2384900000000005,3.27356,1.4744700000000002
14.0451,21.4694,20.0732,4.90611,330.892,4.096419999999999,2.94683,1.42849
14.0904,36.8048,43.4653,23.3722,223.35299999999998,3.37888,3.2218,0.831902
14.2452,32.7992,-59.7162,18.6088,127.821,3.6985300000000003,3.37603,1.41107
14.2057,9.59027,23.0488,29.1387,116.98100000000001,3.3830199999999997,3.2955699999999997,1.1451
14.2318,80.9338,-8.97229,7.688610000000001,31.1608,4.065869999999999,3.26878,1.37684
14.299000000000001,70.3136,-19.913,26.281999999999996,286.781,4.13289,3.09301,1.4490399999999999
14.1591,26.2988,-10.2083,12.8241,197.822,3.78804,3.26136,0.9753879999999999
14.1739,69.833,19.3408,40.8563,2.98002,2.9210599999999998,3.1384,1.13614
13.6486,19.1806,-20.0732,18.6676,43.2075,2.2941700000000003,2.97205,0.925257
14.3955,-6.36304,-71.2291,36.8371,231.417,2.96519,3.54072,1.1899600000000001
14.3316,32.2042,58.3657,39.3356,186.452,3.5852199999999996,3.09069,1.3751
14.2933,-24.2847,-34.6075,29.8046,39.561,3.5746,3.3307,0.7202569999999999
14.2526,23.621,-17.4868,32.8599,101.458,3.63156,3.1628,1.16533
14.2202,58.8693,43.9917,15.3814,142.094,3.63079,3.3954800000000005,1.21706
14.2972,-37.9263,82.6046,19.9056,256.777,3.98803,3.30369,1.20519
14.4784,-7.85077,80.2472,4.696269999999999,20.7665,4.41136,3.4885,0.820967
14.0817,-17.0519,-13.5042,18.9683,64.0456,4.01499,2.93435,0.9434620000000001
14.2696,-38.613,2.2431,13.9881,8.13033,3.85806,3.3871800000000003,1.12642
14.0572,-2.6322,-31.6777,34.2476,315.629,2.8308,3.1835299999999997,0.942891
14.2979,-14.1909,-67.1321,11.5273,156.553,3.7287199999999996,3.4952300000000003,1.16424
14.0924,-7.30145,57.5647,25.265,274.861,3.6638699999999997,3.0626700000000002,1.38991
14.1017,38.7046,-69.4667,36.6776,139.51,2.9327400000000003,3.15436,0.1
14.1232,64.3397,59.6932,25.4385,205.09799999999998,3.59765,3.14336,0.9660350000000001
14.1136,49.3019,63.446999999999996,35.5654,327.593,3.03309,3.16135,1.18638
14.0287,21.1719,43.0762,12.217,50.5502,3.0975599999999996,3.3176,1.27885
14.4989,88.281,1.4419600000000001,27.3774,103.061,4.29254,3.31126,0.759451
14.2818,16.4111,72.4421,9.18828,168.06,3.6476599999999997,3.51155,0.6951149999999999
13.9812,-0.778198,19.6841,31.2105,137.191,3.2039,2.99642,0.997059
14.2001,-39.9634,-15.815999999999999,9.26243,308.242,3.93111,3.2798,0.939148
14.3325,-54.7494,18.7,21.6669,140.92600000000002,3.51694,3.5316199999999998,1.17153
14.2214,31.1284,29.8695,39.8476,258.469,3.3488300000000004,3.03124,1.19294
14.2655,53.7195,-27.1916,19.1642,76.9958,3.8522,3.3325099999999996,1.34932
14.2363,16.8231,65.4612,11.3595,354.319,4.100230000000001,3.23394,1.35507
14.0747,43.5569,58.5488,28.6518,33.0611,3.38297,3.11069,1.1697600000000001
14.3044,-5.539,-82.6963,35.7235,33.5514,3.6231400000000002,3.1631299999999998,1.11469
14.0312,43.5797,43.717,8.37689,248.09599999999998,4.32454,2.71175,1.46032
14.2359,-9.7276,-32.845,35.9445,46.4024,3.0163,3.33092,1.16679
14.0003,-71.2978,-31.5175,22.2419,23.2342,3.3835900000000003,3.10391,1.3877
13.9287,-72.5109,-45.8686,18.0758,198.35,3.1247700000000003,3.14088,1.23111
14.1205,-50.4464,-39.9634,8.92808,95.2064,4.1187,3.04371,0.9617120000000001
14.1794,11.100999999999999,34.5846,16.8349,274.211,3.7151199999999998,3.2899199999999995,0.999281
14.3409,31.3802,-65.7816,24.5445,198.422,4.05893,3.25713,1.24758
13.7902,19.0433,-27.3747,17.1063,32.4001,3.06358,2.97859,1.06156
14.3157,31.8608,35.7289,23.2379,224.041,3.93099,3.3134,1.24766
13.8453,-20.5997,-24.239,25.0901,156.316,2.98916,2.99385,1.08584
13.9711,-57.3129,57.29,21.3885,107.738,3.25778,3.12165,1.23871
14.4043,6.27148,-30.19,7.61447,320.355,4.1508400000000005,3.4965900000000003,1.22005
14.0327,15.4269,-16.1364,20.2386,251.517,3.4662300000000004,3.14216,0.8325870000000001
14.0808,-6.225709999999999,72.1904,37.724000000000004,284.04900000000004,2.83374,3.1339,1.1805
14.0951,-71.252,23.7354,16.8979,243.81099999999998,3.40846,3.28665,0.9255909999999999
14.4851,25.2002,37.8577,15.2289,172.83599999999998,4.02759,3.6230300000000004,0.883668
14.1176,-63.1953,27.1,24.9516,298.635,2.74694,3.41099,1.24244
14.2128,-31.8151,-18.5168,23.603,162.293,3.9217699999999995,3.14347,1.38919
14.503,55.0928,-8.49164,30.9895,94.0331,4.28834,3.21231,1.39225
14.2774,-81.9867,-36.1868,24.0619,88.2934,3.40576,3.4647099999999997,1.19966
14.2796,5.90521,-9.1554,11.4937,117.87299999999999,3.63009,3.50339,1.20599
14.107999999999999,6.500369999999999,44.8387,35.7207,324.70599999999996,3.30959,3.02019,1.3306
14.5954,-4.39459,67.2694,29.4171,22.6889,4.503480000000001,3.2627099999999998,1.4475799999999999
14.3331,-80.1328,-27.6265,11.5917,359.844,4.0525,3.41175,1.0969799999999998
13.9613,-12.9778,-29.1371,12.2352,38.9,3.36329,3.14866,1.16392
14.3193,57.2671,57.1298,38.0486,211.196,3.22972,3.31281,1.28321
14.0374,-6.797910000000001,-44.4724,33.3873,21.0474,2.67581,3.2176299999999998,1.2314200000000002
14.2967,-12.5429,81.0941,4.556369999999999,41.5385,3.67858,3.53608,1.09433
14.1114,89.1509,13.2067,16.0193,296.421,3.3675800000000002,3.32948,1.10955
14.0613,-20.2106,59.1667,27.7565,269.33099999999996,3.5013400000000003,3.0503299999999998,1.2309700000000001
14.133,84.1841,-6.31726,36.3978,273.231,3.01633,3.17448,1.07466
13.9836,-32.8221,44.8158,30.9461,111.296,2.4655,3.2334099999999997,1.12022
14.5446,-67.6585,32.2042,41.3347,41.0813,3.40827,3.45844,1.1596
14.1353,-45.8457,58.1826,31.384,116.68299999999999,2.99277,3.29316,1.09027
14.1248,-77.615,27.6493,25.6007,182.167,3.6134699999999995,3.1349299999999998,0.879517
14.1092,28.2675,-15.0149,24.6578,176.49900000000002,3.5758699999999997,3.1457900000000003,1.07102
14.1841,61.8678,-14.168,27.6376,353.851,3.84953,3.0532,0.881599
14.2327,-68.3452,37.9263,38.3969,136.761,2.80409,3.33572,0.1
14.152000000000001,72.3049,15.6329,34.4631,150.34,3.27508,3.14341,0.850276
14.2573,84.001,33.9208,39.0166,193.101,3.27602,3.16397,1.2827899999999999
14.040999999999999,49.8282,-29.3202,29.2926,161.769,2.86157,3.23875,0.897518
14.2445,45.5712,36.6445,17.049,184.601,3.80059,3.3476199999999996,0.925375
14.4287,11.4901,7.667660000000001,33.8853,127.425,3.13153,3.5973900000000003,1.0984200000000002
14.3378,-21.8814,-83.6347,15.0261,327.108,3.9914099999999997,3.42076,1.2181799999999998
14.2673,-53.3303,30.5563,4.33814,169.993,4.10675,3.3163300000000002,0.982186
14.1033,-71.5724,-46.2578,32.6556,144.89700000000002,3.21315,3.14273,1.31965
14.2406,40.856,15.3582,8.58114,258.7,3.8426099999999996,3.3843300000000003,1.16475
